# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-09-02 at the v1.0 baseline. Without this marker a registry row suppresses EVERY
#   check for its (query, keyRef, field) triple regardless of what the recorded decision said.
# CA_eSUN ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d), audit_combo_reachability.ps1 (dead-combo* -> NOTE)
# and audit_test_coverage.ps1 -Gate (existence-class rows are exempt from UNCOVERED).
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#
# ============================================================================================
# v1.0 IS A FAITHFUL CAPTURE OF THE SAN DIEGO SHERIFF LIVE CONFIGURATION, HAND BUILT BY
# ENGINEERING. NOTHING BELOW IS A BUILD DEFECT WE INTRODUCED -- each row records something the
# live tenant does, proven on the wire, so that the v1.x line has a documented starting point.
# Rob 2026-09-02: "register the 8 as known-unreachable."
# CORRECTION TO MY OWN COUNT: the owed set is 10 plan tests, of which NINE are structurally
# unreachable (I said 8 -- both Article tests fill ArticleTypeCodeRemainder, which has no form
# control at all, so they are structural too, not dedupe) and ONE is recoverable
# (Person/L1OperatorLicenseNumberIn plain -- it DID submit, T18, and lost its log to a filename
# collision with its own _af_RegistrationState sibling).
# ONLY COMBO-LEVEL items are registered here. A row is keyed (query, keyRef), so a failure that
# affects ONE any-field TEST of an otherwise-working combo must NOT be registered -- doing so would
# suppress the whole keyRef and cost real coverage (the IL_LEADS_OFML and TX RSDWW lessons). Those
# test-level items are recorded in BUILD_NOTES instead.
# ============================================================================================

VehicleRegistrationQuery | NameAddressIn | * | dead-combo | USx-TENANT-PROVEN UNREACHABLE -- CORRECTED 2026-09-03: this row said "LIVE-PROVEN", which is wrong twice. (1) It breaks the standing terminology rule -- evidence from the USx Provider Tenant is "USx tenant tested", NEVER "live". (2) It reads as SAN DIEGO SHERIFF, and it is not: v1.0 runs live at SDSO but NOTHING on this line has ever been tested there (Rob 2026-09-03: "never tested at sdso we only tested on usx test tenant"). The observation below is USx-test-tenant behaviour and SDSO behaviour is UNVERIFIED. That distinction is load-bearing, because this row is the evidence anyone would cite when deciding whether VPNameBirthDateIn's extra field is what makes the query submittable -- I cited it that way myself and had to be corrected. Three consecutive driver runs, 0 of 5 plan tests ever submitted. The tenant never activates a query checkbox and Send stays DISABLED, so nothing is sent -- not a validation failure, there is simply no query to run. Every variant was tried: name-only, +AddressCity, +AddressStreetNumber, +RegistrationState=GA, and all three together. Neighbouring combos on the SAME form submitted immediately before and after each attempt (QVLicensePlateNumberIn, IdentificationNumberInOut, LojackID), so it is not latency and not the form being slow. Metadata does define the variant (VehicleRegistrationQuery <Any> includes AddressCity/AddressStreetNumber and the devdoc lists "#4 (In) Name, [AddressCity, AddressStreetNumber]"), so this is a live ROUTING fact about the San Diego tenant, not a metadata gap. Registered so the coverage gate stops demanding evidence that cannot be produced. | live-driver 3 runs 2026-09-02 | 2026-09-02
VehicleRegistrationQuery | 4LicensePlateTypeIn | * | dead-combo | STRUCTURALLY DEAD, fill-independent -- audit_combo_reachability reports it on the plain reachability test, and the plan generates no test for it. It sits behind QVLicensePlateNumberIn, whose set[] is a strict subset, so first-match hands every plate fill to QV and 4LicensePlateTypeIn can never win. Carried in from the live configuration unchanged; NOT reordered, because v1.0 is a capture and reordering would make it stop matching what San Diego runs. | audit_combo_reachability 2026-09-02 | 2026-09-02
DriverLicenseQuery | VPBirthDateIn | * | dead-combo | STRUCTURALLY DEAD, fill-independent (audit_combo_reachability). Shadowed by an earlier DriverLicenseQuery combination whose set[] it cannot out-specify once the form defaults are applied. No plan test is generated for it, so there is no evidence to owe. Carried in unchanged from the live configuration. | audit_combo_reachability 2026-09-02 | 2026-09-02
DriverLicenseQuery | VPAgeIn | * | dead-combo | STRUCTURALLY DEAD, fill-independent (audit_combo_reachability) -- the Age-branch twin of VPBirthDateIn, dead for the same reason and in the same position. No plan test is generated. Carried in unchanged from the live configuration. | audit_combo_reachability 2026-09-02 | 2026-09-02

# ---------------------------------------------------------------------------------------------
# v3.0 MAINLINE (from-scratch build, 2026-09-03). The rows above belong to the v1.x/v2.x
# RADIOBUTTON line, which is a capture of the hand-built San Diego config; these two are
# adjudications of DEVDOC-vs-METADATA conflicts surfaced by build_phase1 on the new line.
# ---------------------------------------------------------------------------------------------

VehicleRegistrationQuery | (devdoc #3) | BirthDate | devdoc-combo-unbuilt | Devdoc VehicleRegistrationQuery #3 is "(In) Name, BirthDate" -- a registered-owner search qualified by date of birth. The METADATA DOES NOT DEFINE BirthDate ON THIS TRANSACTION AT ALL: the string appears ZERO times inside the entire <Transaction name="VehicleRegistrationQuery"> element, and its only Name variant is VP{Name} = Set[CaRequestPurposeCode, Name] Any[AddressCity, AddressStreetNumber]. Metadata is FIELD authority, so building this item would OVER-PERMIT -- transmitting a field the transaction does not define. That is not theoretical: the v2.2 radiobutton line DOES build it as VPNameBirthDateIn, and gate 6d FAILs two of its live logs with "wire field(s) not defined in metadata: BirthDate". So the devdoc item is unbuildable and the wire proves it. VP{Name} IS built (keyRef VP.N) and covers the plain owner-name search; only the BirthDate qualifier is unavailable. | metadata-vs-devdoc + v2.2 live 6d logs | 2026-09-03

ArticleSingleQuery | QA | ArticleSerialNumber | devdoc-optional-unreachable | FIELD IS DELIBERATELY ArticleSerialNumber, NOT CaRequestPurposeCode, AND THAT IS THE WHOLE TRICK: audit_devdoc_optionals' Test-Accepted matches the registry Field against the FILLED fields of the devdoc item, and on a "(mandatory only) NO COMBO FIRES" the field metadata ADDS is by definition not one of them. Registering the causal field silenced nothing -- 54 FAILs survived it. The row must name a MANDATORY field of the devdoc item itself. Documented in usx-build Step 3 and walked into anyway. The devdoc's ArticleSingleQuery field table marks only ArticleSerialNumber as M and never lists a purpose code, so audit_devdoc_optionals reports "#1 (mandatory only) -> NO COMBO FIRES" for a serial-only fill, plus more for its optional subsets -- many findings, one cause. The METADATA makes CaRequestPurposeCode MANDATORY on the single QA variant: Set[CaRequestPurposeCode, ArticleSerialNumber]. Metadata is FIELD authority, so the built combo correctly requires it and a serial-only fill correctly sends nothing. Removing it to satisfy the devdoc would emit a request the metadata calls invalid. This is provider-wide, not Article-specific: CaRequestPurposeCode is mandatory on ALL 27 metadata branches of all six transactions while the devdoc field tables never list it. | metadata-vs-devdoc | 2026-09-03

# BoatQuery -- IDENTICAL ROOT CAUSE TO THE ArticleSingleQuery ROW ABOVE, registered 2026-09-04 for
# consistency once the Article rule name was corrected and stopped masking these. CaRequestPurposeCode
# is MANDATORY on every one of the 27 metadata branches of all six transactions, while the devdoc's
# per-query field tables never list it -- so EVERY "(mandatory only) NO COMBO FIRES" on this provider
# is one fact reported per devdoc item, not a per-query defect. Metadata is FIELD authority: the built
# combos correctly require the purpose code, and a hull-or-registration-only fill correctly sends
# nothing. Removing it to satisfy the devdoc would emit a request the metadata calls invalid.
# Field names the MANDATORY field of each devdoc item (never the causal CaRequestPurposeCode) because
# Test-Accepted matches the registry Field against the item's FILLED fields, and the field metadata
# ADDS is by definition not among them -- the trap that made the Article row inert for a day.
BoatQuery | BQ.H | BoatHullIdNumber | devdoc-optional-unreachable | Devdoc BoatQuery #1/#3 are hull-only (#3 adds optional State). Metadata BQ{BoatHullIdNumber} is Set[CaRequestPurposeCode, BoatHullIdNumber], so a hull-only fill matches nothing. See the header note above. | metadata-vs-devdoc | 2026-09-04
BoatQuery | BQ.R | RegistrationNumber | devdoc-optional-unreachable | Devdoc BoatQuery #2/#4 are registration-only (#4 adds optional State). Metadata BQ{RegistrationNumber} is Set[CaRequestPurposeCode, RegistrationNumber], so a registration-only fill matches nothing. See the header note above. | metadata-vs-devdoc | 2026-09-04
