# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-08-02 as part of the portfolio sweep Rob authorised after it was MEASURED rather
#   than assumed. The one-at-a-time ruling (2026-07-30) existed because narrowing suppression can
#   un-silence a real finding and turn a provider red unpredictably; all 8 remaining eligible
#   providers were tested with this marker on and every one stayed ENFORCED 0 FAIL / 0 WARN, so the
#   risk the ruling guarded against was zero here. Under direction-aware a row only silences a check
#   whose CLASS matches its rule (tools/_divergence_rules.ps1); 'other' rows silence nothing.
# OH_LEADS ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d / 5). Each non-comment line records a
# divergence that is intentional/documented, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

VehicleRegistrationQuery | QV.P | LicensePlateNumber | dropped-combo | Metadata duplicate-keyRef NCIC national plate shadow (devdoc "(Out) LicensePlateNumber, State"). Form-identical to RQ.P (OOS plate) under existence-only gating -- only RegistrationState distinguishes In/Out and it is already consumed to route RQ.P (Out) vs RP (In). No third form distinguisher exists, so keeping QV.P would leave it unreachable (RQ.P set is a subset). Dropped; RQ.P covers the OOS plate path. Restore via a dedicated distinguisher if an NCIC-only plate path is ever required. (TN/OCATS/CA_CLETS drop precedent) | metadata-vs-json | 2026-07-23
VehicleRegistrationQuery | QV.V | VehicleIdentificationNumber | dropped-combo | Metadata duplicate-keyRef NCIC national VIN shadow (devdoc "(Out) VehicleIdentificationNumber"). Truly form-identical to RV (in-state VIN, both plain VIN-only, no state field) and absorbed by RQ.V (OOS VIN) -- no form field distinguishes RV from QV.V, so keeping it leaves it unreachable (RV set is a subset). Dropped; RV + RQ.V cover the VIN paths. (TN/OCATS/CA_CLETS drop precedent) | metadata-vs-json | 2026-07-23
DriverHistoryQuery | BMVIMS | OperatorLicenseNumber | dropped-combo | Metadata third DH combo (BMV image-management OLN lookup). Form-identical OLN shadow of KQ.O (both set=OperatorLicenseNumber only) -- devdoc folds it into the single KQ OLN combo's optional [ReasonCode]; no image indicator exists on DriverHistoryQuery to distinguish a photo request from a standard DH-by-OLN. Dropped; KQ.O covers the DH-by-OLN path. | metadata-vs-json | 2026-07-23
BoatQuery | (devdoc #2) | NCICNumber | devdoc-combo-unbuilt | DATA-MINED NCIC FAMILY -- deliberately unbuilt, consistent with this provider's existing decisions. OH_LEADS' own devdoc states "Data-Mined Transactions & Fields: NCIC (QA, QB, QG, QV, QW)", and this combination is keyed on NCICNumber -- the NCIC record number, i.e. querying a hit the state already returns by data mining. CLAUDE.md records the same call already made for this provider on Vehicle ("7 VehReg combos (9 metadata, 2 NCIC shadows dropped)"), so Boat/Gun NCIC-number variants are the same decision applied consistently rather than an oversight. NCICNumber IS wired elsewhere in this JSON (14 references), so the field is available -- the omission is scoped to the NCIC-keyed query paths. Status PROVISIONAL per BUILD_RULES: the data-mined list is not build scope in either direction until the platform confirms semantics. Verified 2026-07-31. | metadata-vs-devdoc | 2026-07-31
GunQuery | (devdoc #2) | NCICNumber | devdoc-combo-unbuilt | DATA-MINED NCIC FAMILY -- deliberately unbuilt, consistent with this provider's existing decisions. OH_LEADS' own devdoc states "Data-Mined Transactions & Fields: NCIC (QA, QB, QG, QV, QW)", and this combination is keyed on NCICNumber -- the NCIC record number, i.e. querying a hit the state already returns by data mining. CLAUDE.md records the same call already made for this provider on Vehicle ("7 VehReg combos (9 metadata, 2 NCIC shadows dropped)"), so Boat/Gun NCIC-number variants are the same decision applied consistently rather than an oversight. NCICNumber IS wired elsewhere in this JSON (14 references), so the field is available -- the omission is scoped to the NCIC-keyed query paths. Status PROVISIONAL per BUILD_RULES: the data-mined list is not build scope in either direction until the platform confirms semantics. Verified 2026-07-31. | metadata-vs-devdoc | 2026-07-31
VehicleRegistrationQuery | QV | LicensePlateNumber | dropped-combo | METADATA-KEYREF alias of the already-registered QV.P / QV.V entries above, added so the registry lookup can actually match. audit_query_trace keys its accepted-divergence map on the keyRef STRING, and the METADATA keyRef is bare QV while the built/synthetic names are QV.P and QV.V -- so the existing entries never matched and the gate kept reporting [PREFILL-DEAD] QV set[LicensePlateNumber] as if it were an open defect. Substance is unchanged and is verified from this providers own devdoc: its VehicleRegistrationQuery items are #1 DealerPlateType+Plate+PlateTypeCode (built ATDP), #2 Plate+PlateTypeCode (built RP), #3 VIN (built RV), #4 Plate+State and #5 Plate+PlateTypeCode+PlateYear+State (built RQ.P). There is NO plate-only devdoc item at all; the metadata QV plate-only combination is the NCIC national shadow already registered as dropped-combo, and the same for the VIN variant. So this is not ours to reach and the LicensePlateTypeCode=PC prefill is NOT hiding anything owed. Acting on the gates advice -- remove the prefill -- would strip a correct default to chase a combination that must never be built, which is exactly the HI_HCJDC_OFML trap noted in that tools own header. Verified 2026-08-01. | metadata-vs-devdoc | 2026-08-01
BoatQuery | BQ.H | ImageIndicator | devdoc-optional-unreachable | THIS providers metadata splits BoatQuery across TWO transaction keyRefs with DIFFERENT optional sets, and the build routes on State exactly as they require: BQ{BoatHullIdNumber} = Set[BoatHullIdNumber] Any[State] (the Nlets/out-of-state path, built BQ.H gated RegistrationState EXISTS) and QB{BoatHullIdNumber} = Set[BoatHullIdNumber] Any[ImageIndicator, RelatedHitSearchIndicator] (the in-state NCIC path, built QB.H gated RegistrationState NOT_EXISTS); same split for the RegistrationNumber pair BQ.R / QB.R. ImageIndicator and RelatedHitSearchIndicator are NOT defined on the BQ transaction at all. So a fill of hull + State + ImageIndicator correctly routes to BQ.H and correctly does NOT carry the image flag -- adding it to BQ.H any[] would OVER-PERMIT a field the BQ transaction does not accept. Both paths verified REACHABLE (audit_combo_reachability 19/19 all reachable), so neither is a dead combo. The devdoc presents one flat optional list for BoatQuery while the metadata spreads those optionals across two transactions -- the identical shape registered on NM_NMLETS_OFML QV.V/VehicleYear and TX_TLETS_CCH QWI the same day. METADATA IS FIELD-AUTHORITY (KB rule B4). Verified against the raw XML Requirements 2026-08-01. | metadata-vs-devdoc | 2026-08-01
BoatQuery | BQ.H | RelatedHitSearchIndicator | devdoc-optional-unreachable | THIS providers metadata splits BoatQuery across TWO transaction keyRefs with DIFFERENT optional sets, and the build routes on State exactly as they require: BQ{BoatHullIdNumber} = Set[BoatHullIdNumber] Any[State] (the Nlets/out-of-state path, built BQ.H gated RegistrationState EXISTS) and QB{BoatHullIdNumber} = Set[BoatHullIdNumber] Any[ImageIndicator, RelatedHitSearchIndicator] (the in-state NCIC path, built QB.H gated RegistrationState NOT_EXISTS); same split for the RegistrationNumber pair BQ.R / QB.R. ImageIndicator and RelatedHitSearchIndicator are NOT defined on the BQ transaction at all. So a fill of hull + State + ImageIndicator correctly routes to BQ.H and correctly does NOT carry the image flag -- adding it to BQ.H any[] would OVER-PERMIT a field the BQ transaction does not accept. Both paths verified REACHABLE (audit_combo_reachability 19/19 all reachable), so neither is a dead combo. The devdoc presents one flat optional list for BoatQuery while the metadata spreads those optionals across two transactions -- the identical shape registered on NM_NMLETS_OFML QV.V/VehicleYear and TX_TLETS_CCH QWI the same day. METADATA IS FIELD-AUTHORITY (KB rule B4). Verified against the raw XML Requirements 2026-08-01. | metadata-vs-devdoc | 2026-08-01
DriverLicenseQuery | DL | ReasonCode | devdoc-optional-unreachable | NOT BUILDABLE ON THE BUILT COMBO -- these three optionals belong to a DIFFERENT metadata variant. Raw <Requirements> for OH_LEADS DriverLicenseQuery: DL{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] with an EMPTY <Any>, while BMVIMS{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] OPT=[ReasonCode, Requestor, UserName]. The build implements DL, so adding these to its any[] would OVER-PERMIT -- a request carrying fields that variant does not define. BMVIMS is itself a duplicate-input twin of DL (both mandate ONLY OperatorLicenseNumber), so under first-match routing building it would create a permanently dead combo; it is already noted as deferred in the build script header. The devdoc lists them as bracketed optionals on DriverLicenseQuery #2 because the devdoc gives ONE FLAT optional list per query while metadata scopes optionals PER VARIANT -- #2 is the BMVIMS row and #3 the DL row. Officer impact: no ReasonCode/Requestor/UserName on an in-state OLN driver-license query. HOW THIS WAS ALMOST GOT WRONG, recorded because the reasoning is the valuable part: both authorities appeared to agree (metadata defines the fields on this TRANSACTION, devdoc lists them on this QUERY) and the fix was drafted and written into the build script before the per-COMBINATION <Requirements> were read. Transaction-level agreement is not variant-level agreement. A keyRef is not a variant, and neither is a transaction. | metadata-vs-devdoc | 2026-08-02
DriverLicenseQuery | DL | Requestor | devdoc-optional-unreachable | NOT BUILDABLE ON THE BUILT COMBO -- these three optionals belong to a DIFFERENT metadata variant. Raw <Requirements> for OH_LEADS DriverLicenseQuery: DL{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] with an EMPTY <Any>, while BMVIMS{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] OPT=[ReasonCode, Requestor, UserName]. The build implements DL, so adding these to its any[] would OVER-PERMIT -- a request carrying fields that variant does not define. BMVIMS is itself a duplicate-input twin of DL (both mandate ONLY OperatorLicenseNumber), so under first-match routing building it would create a permanently dead combo; it is already noted as deferred in the build script header. The devdoc lists them as bracketed optionals on DriverLicenseQuery #2 because the devdoc gives ONE FLAT optional list per query while metadata scopes optionals PER VARIANT -- #2 is the BMVIMS row and #3 the DL row. Officer impact: no ReasonCode/Requestor/UserName on an in-state OLN driver-license query. HOW THIS WAS ALMOST GOT WRONG, recorded because the reasoning is the valuable part: both authorities appeared to agree (metadata defines the fields on this TRANSACTION, devdoc lists them on this QUERY) and the fix was drafted and written into the build script before the per-COMBINATION <Requirements> were read. Transaction-level agreement is not variant-level agreement. A keyRef is not a variant, and neither is a transaction. | metadata-vs-devdoc | 2026-08-02
DriverLicenseQuery | DL | UserName | devdoc-optional-unreachable | NOT BUILDABLE ON THE BUILT COMBO -- these three optionals belong to a DIFFERENT metadata variant. Raw <Requirements> for OH_LEADS DriverLicenseQuery: DL{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] with an EMPTY <Any>, while BMVIMS{OperatorLicenseNumber} is MAND=[OperatorLicenseNumber] OPT=[ReasonCode, Requestor, UserName]. The build implements DL, so adding these to its any[] would OVER-PERMIT -- a request carrying fields that variant does not define. BMVIMS is itself a duplicate-input twin of DL (both mandate ONLY OperatorLicenseNumber), so under first-match routing building it would create a permanently dead combo; it is already noted as deferred in the build script header. The devdoc lists them as bracketed optionals on DriverLicenseQuery #2 because the devdoc gives ONE FLAT optional list per query while metadata scopes optionals PER VARIANT -- #2 is the BMVIMS row and #3 the DL row. Officer impact: no ReasonCode/Requestor/UserName on an in-state OLN driver-license query. HOW THIS WAS ALMOST GOT WRONG, recorded because the reasoning is the valuable part: both authorities appeared to agree (metadata defines the fields on this TRANSACTION, devdoc lists them on this QUERY) and the fix was drafted and written into the build script before the per-COMBINATION <Requirements> were read. Transaction-level agreement is not variant-level agreement. A keyRef is not a variant, and neither is a transaction. | metadata-vs-devdoc | 2026-08-02
