# TX_TLETS ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d). Each non-comment line records a
# set/any divergence that is intentional and correct, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

BoatQuery | BQRegistrationNumber | registrationState | promoted-to-set | Intentional out-of-state boat routing: BQ combos are state='Out', so destination State is required (set[]) to force the OOS boat query; metadata lists State in any[]. Pre-existing since v3.x (Boat unchanged by v3.9 Attention conversion); surfaced by CHECK 4d on rebuild. | metadata-vs-devdoc | 2026-06-22
BoatQuery | BQBoatHullIdNumber | registrationState | promoted-to-set | Intentional out-of-state boat routing: BQ combos are state='Out', so destination State is required (set[]) to force the OOS boat query; metadata lists State in any[]. Pre-existing since v3.x (Boat unchanged by v3.9 Attention conversion); surfaced by CHECK 4d on rebuild. | metadata-vs-devdoc | 2026-06-22
DriverLicenseQuery | RSDWW | OperatorLicenseNumber | shadow-unbuilt-REVISIT | RSDWW ('Driver License Inquiry by OLN') is a duplicate-input twin of the built DQOLN combo -- both require exactly set[OperatorLicenseNumber], so only one is reachable under first-match routing; RSDWW left unbuilt (same class as QW/QV shadows + the unbuilt plain VehicleRegistrationQuery merged into VehicleInsuranceRegistrationQuery). Covered by DQOLN; devdoc gate (enforce 2e) + audit_metadata reachability both pass. REVISIT: confirm in a live test whether the platform auto-sends RSDWW server-side, or whether its by-OLN response scope differs from the generic DQ -- if it returns distinct data, promote it (needs a real discriminator, not just a second identical-set combo). | metadata-vs-devdoc | 2026-07-28
VehicleInsuranceRegistrationQuery | RQLicensePlateNumber | FinancialResponsibilityType | dead-combo-RESTORED-v4.14 | SUPERSEDED 2026-07-30 -- THIS ENTRY WAS WRONG AND THE COMBO IS RESTORED at TX_TLETS v4.14. It was never dead: the form PREFILLED its sibling's discriminator (financialResponsibilityType=E, plus PlateYear/PlateTypeCode), so the sibling matched on every submission and this combo could never win first-match. It is the devdoc's "(OutofState)" path, so deleting it removed out-of-state search from the provider; the original claim "Officer impact none: REG/VIN return a superset" was false (in-state TX DMV is a different destination system from out-of-state Nlets, not a superset). Prefills removed and all 7 metadata combinations are now form-reachable (audit_query_trace: 0 PREFILL-DEAD; enforce PHASE 2n gates this). Original v4.13 text follows for history: combo REMOVED from the build (TX_TLETS v4.13 / TX_TLETS_CCH v1.9) per Rob's binding v4.9 subset-shadow ruling. It was unreachable at any fill -- the combo ordered before it matched whenever it did, because that sibling's only extra set[] field (FinancialResponsibilityType) is form-prefilled 'E'. Officer impact none: REG/VIN return a superset. regionId and VehicleMakeCode were preserved by moving them onto the surviving combos' any[] rather than dropped. Retained here as history only; audit_combo_reachability now reports 0 dead combos. | metadata-vs-devdoc | 2026-07-29
VehicleInsuranceRegistrationQuery | RQVehicleIdentificationNumber | FinancialResponsibilityType | dead-combo-RESTORED-v4.14 | SUPERSEDED 2026-07-30 -- THIS ENTRY WAS WRONG AND THE COMBO IS RESTORED at TX_TLETS v4.14. It was never dead: the form PREFILLED its sibling's discriminator (financialResponsibilityType=E, plus PlateYear/PlateTypeCode), so the sibling matched on every submission and this combo could never win first-match. It is the devdoc's "(OutofState)" path, so deleting it removed out-of-state search from the provider; the original claim "Officer impact none: REG/VIN return a superset" was false (in-state TX DMV is a different destination system from out-of-state Nlets, not a superset). Prefills removed and all 7 metadata combinations are now form-reachable (audit_query_trace: 0 PREFILL-DEAD; enforce PHASE 2n gates this). Original v4.13 text follows for history: combo REMOVED from the build (TX_TLETS v4.13 / TX_TLETS_CCH v1.9) per Rob's binding v4.9 subset-shadow ruling. It was unreachable at any fill -- the combo ordered before it matched whenever it did, because that sibling's only extra set[] field (FinancialResponsibilityType) is form-prefilled 'E'. Officer impact none: REG/VIN return a superset. regionId and VehicleMakeCode were preserved by moving them onto the surviving combos' any[] rather than dropped. Retained here as history only; audit_combo_reachability now reports 0 dead combos. | metadata-vs-devdoc | 2026-07-29
DriverLicenseQuery | ImageIndicatorY | EmailAddress | precondition-adjudicated-satisfied | check_test_preconditions.ps1 flags all 5 DL/DH combos because their defaults set ImageIndicator=Y and the TX devdoc says "Must be filled if ImageIndicator = Y". ADJUDICATED SATISFIED 2026-07-29: the constrained field is EmailAddress, auto-populated by GetUserProfileSingleValueRuleHandler from the hidden emailAddress=X gate-feeder (RND-57165, separate eng team). LOG EVIDENCE: providers/TX_TLETS/logs/Person/TX_TLETS_v4.12_DQName.txt and TX_TLETS_v4.12_KQName.txt both carry <EmailAddress>ROB.SGAMBELLONE@MARK43.COM</EmailAddress> on the wire. The tool CANNOT resolve this itself -- it only prints the raw constraint text and asks a human to confirm a default or handler exists -- and it exits 0 (warn-only) despite CLAUDE.md historically calling it MANDATORY. Recording the adjudication here so the recurring WARN is not re-investigated every pass and does not mask a REAL violation. | metadata-vs-devdoc | 2026-07-29
VehicleInsuranceRegistrationQuery | REGLicensePlateNumber | regionId | promoted-to-any | regionId (and VehicleMakeCode on the VIN combo) moved into this combo's any[] at v4.13/v1.9 when RQLicensePlateNumber + RQVehicleIdentificationNumber were removed as dead. Per metadata RegionId belongs only to the QV combinations (themselves removed v4.9 as auto-fired subset shadows) and VehicleMakeCode/VehicleYear only to RQ{VIN}, so carrying them here is a deliberate divergence. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[]. Same reasoning and precedent as the v4.9 regionId move. Alternative (dropping the fields) would have orphaned two visible form fields and silently removed officer capability. | metadata-vs-devdoc | 2026-07-29
VehicleInsuranceRegistrationQuery | VINVehicleIdentificationNumber | VehicleMakeCode | promoted-to-any | regionId (and VehicleMakeCode on the VIN combo) moved into this combo's any[] at v4.13/v1.9 when RQLicensePlateNumber + RQVehicleIdentificationNumber were removed as dead. Per metadata RegionId belongs only to the QV combinations (themselves removed v4.9 as auto-fired subset shadows) and VehicleMakeCode/VehicleYear only to RQ{VIN}, so carrying them here is a deliberate divergence. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[]. Same reasoning and precedent as the v4.9 regionId move. Alternative (dropping the fields) would have orphaned two visible form fields and silently removed officer capability. | metadata-vs-devdoc | 2026-07-29

BoatQuery | (devdoc #2) | Name | devdoc-combo-unbuilt | Devdoc BoatQuery lists `2. (OutofState) Name, BirthDate, State` -- an out-of-state boat search by OWNER NAME. NOT IMPLEMENTABLE: metadata BoatQuery defines exactly 6 fields (BoatHullIdNumber, ImageIndicator, NCICNumber, RegistrationNumber, RelatedHitSearchIndicator, State) -- no Name and no BirthDate exist on the transaction, so there is nothing to map. Metadata is field-authority (CLAUDE.md / skill B4), so a devdoc path whose fields the metadata does not define cannot be built without new metadata from CommSys. Officer impact: no boat-by-owner-name search on TX. Found 2026-07-30 by audit_devdoc_combinations (enforce PHASE 2p) -- invisible to every prior gate because they all enumerate what was BUILT. | metadata-vs-devdoc | 2026-07-30
BoatQuery | (devdoc #2) | BirthDate | devdoc-combo-unbuilt | Same path as the Name entry above -- metadata BoatQuery defines no BirthDate field. See that entry for the full reasoning. | metadata-vs-devdoc | 2026-07-30
DriverLicenseQuery | (devdoc #3) | RaceCode | devdoc-combo-unbuilt | PARKED BY ROB 2026-07-30: "no qw and qv should stay parked." Devdoc DriverLicenseQuery #3 `Name, BirthDate, SexCode, RaceCode [ExpandedBirthDateSearchCode, RegionId]` = metadata keyRef QW. CORRECTION TO THIS ENTRY'S ORIGINAL REASON, which was WRONG: it claimed QW was unbuilt because RaceCode is wired nowhere. RaceCode is NOT the blocker -- metadata QW is SET=[BirthDate,Name] with RaceCode in ANY[], i.e. OPTIONAL, and metadata is field-authority for requirements, so QW needs only Name+BirthDate. -SkipRace is an RMS-bundle flag, never a CommSys prohibition (TX_TLETS_CCH wires raceCodeCCH). A wrong reason in this registry is worse than none because it stops exactly the review that caught it. THE ACTUAL BLOCKERS, both standing: (1) the v4.2 ruling (2026-07-15, build_tx_tlets.ps1 L115-117, FL_FCIC precedent) that QW is a PLATFORM-AUTO-SENT shadow query and not client-buildable -- same class as QV, and Rob reaffirmed both stay parked after seeing that the devdoc does list QW as a supported DL path; (2) even if that were overridden, QW's set[NameLast,NameFirst,BirthDate] sits between CPLName (Name) and DQName (Sex+DOB+Name) under first-match, so it needs a discriminating condition, and its only exclusive any[] members (ExpandedBirthDateSearchCode, RaceCode, RegionId) are NONE of them on the Person form -- building it means wiring a gate field first. audit_devdoc_optionals reports these fills UNREACHABLE: that is EXPECTED and recorded, not a defect. | metadata-vs-devdoc | 2026-07-30

VehicleInsuranceRegistrationQuery | QVLicensePlateNumber | LicensePlateNumber | metadata-shadow-autofired | NOT BUILT, deliberately -- Rob's binding v4.9 ruling (commit da78b66e `shadow-query correction (QV removal)`), RESTORED at v4.17 after being re-added in error. QV{Plate} set[LicensePlateNumber] is an ungated SUBSET of REG (Plate+Year+FRT) and RQ (Plate+Year+PlateTypeCode); its extra fields are FRT/Type/Year qualifiers of the SAME plate query, NOT a state discriminator, and QV is NOT listed as an (InState) or (OutofState) combination in the devdoc -- it is a metadata shadow. The PLATFORM AUTO-FIRES the metadata QV transaction off the larger query, so an explicit combo adds no officer capability while stealing fills from the real combos (same class as QW; NJ precedent -- state auto-runs QV, response data-mined via QRDM). audit_query_trace reports it [MISSING] -- that is EXPECTED and advisory, do not `fix` it. HOW THE ERROR HAPPENED (2026-07-30): at v4.14 the genuine prefill-dead restoration of RQ{Plate}/RQ{VIN} was bundled with a QV re-add in one commit (970de807); the v4.9 rationale comment was left in the build script, so the code contradicted its own adjacent comment for 3 versions, and CLAUDE.md kept saying `19 CommSys combos` while the JSON shipped 21. RQ{Plate}/RQ{VIN} are NOT this case -- they are the devdoc (OutofState) paths and STAY BUILT. | metadata-vs-devdoc | 2026-07-30
VehicleInsuranceRegistrationQuery | QVVehicleIdentificationNumber | VehicleIdentificationNumber | metadata-shadow-autofired | Same ruling as the QVLicensePlateNumber entry above -- subset of VIN+FRT, platform auto-fired, not a devdoc in/out combination. Note its removal also required dropping the `regionId NOT_EXISTS` condition from RQ{VIN}: that condition existed ONLY to split RQ{VIN} from QV{VIN}, and leaving it would have made RQ{VIN} unreachable the moment an officer typed a Region ID -- a self-inflicted hole of exactly the BUILD_RULES 24 shape. regionId now rides in RQ{VIN} any[] (never drop a devdoc-optional combination field). | metadata-vs-devdoc | 2026-07-30

