# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-08-02, at v7.16, while FL was already mid-rebuild and un-swept -- which is exactly
#   when to take this: direction-aware is NARROWER than legacy, so it can turn a green provider RED
#   by un-silencing a real finding, and that is a release decision best paid when no tenant logs are
#   at stake. Under it a row only silences a check whose CLASS matches the row's rule
#   (see tools/_divergence_rules.ps1); in particular 'other' rows -- like the State2-State5 entries
#   below -- silence NOTHING, which is the intent: they are a record, not a suppression.
# FL_FCIC ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d). Each non-comment line records a
# set/any divergence that is intentional and correct, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

BoatQuery | QBBoatHullIdNumber | relatedHitSearchIndicator | promoted-to-set | Intentional stolen-boat routing: relatedHitSearchIndicator in Boat set[] routes the QB stolen query; live-validated FL v5.1 full matrix T1-T42 PASS 2026-06-15 | metadata-vs-devdoc | 2026-06-17
BoatQuery | QBRegistrationNumber | relatedHitSearchIndicator | promoted-to-set | Intentional stolen-boat routing: relatedHitSearchIndicator in Boat set[] routes the QB stolen query; live-validated FL v5.1 full matrix T1-T42 PASS 2026-06-15 | metadata-vs-devdoc | 2026-06-17
DriverLicenseQuery | QW | * | not-built | NCIC Wanted Person Query -- CommSys auto-sends QW as a side effect of the DL query firing (platform-confirmed); WantedPersonQuery removed v4.2. Was previously mis-reported [PASS] "covered by invented variants" due to coincidental field overlap with FDQ/DQ combos (Name/DOB/OLN are common to all three keyRefs); corrected 2026-07-06 to report honestly as not-built-by-design instead. | build-notes | 2026-07-06
VehicleRegistrationQuery | QV | * | not-built | NCIC Stolen Vehicle Query -- CommSys auto-sends QV as a side effect of the Vehicle query firing (platform-confirmed); response data-mined via QRDM, ImageQuery = user-approved scope skip. Was previously mis-reported [PASS] "covered by invented variants" due to coincidental field overlap with FRQ/RQ combos; corrected 2026-07-06 to report honestly as not-built-by-design instead. | build-notes | 2026-07-06
VehicleRegistrationQuery | FRQTitleLienInformation | TitleLienInformation | not-built | Removed per Gordon Hallof product/UX decision (DEX-1279, 2026-07-16) -- was a live, devdoc-order-position-3-of-4, 100%-covered combo through v7.3; deliberately sunset (officer-facing Title/Lien search dropped from the Vehicle card), NOT a coverage gap or a misread requirement. Differs from the QV/QW rows above -- those were never client-buildable (platform auto-sends them); this one WAS built and worked, then intentionally removed. | product-decision | 2026-07-16
VehicleRegistrationQuery | (devdoc #3) | TitleLienInformation | devdoc-combo-unbuilt | Devdoc VehicleRegistrationQuery #3 '(In) TitleLienInformation, [Requestor]' is deliberately NOT built. Gordon Hallof product/UX decision at v7.4: 'Remove Title/Lien info all together' -- sunsetting the whole query path, not a label cleanup (see build_fl_fcic.ps1 header L93-99; it WAS a live, 100%-covered combo before that, combo count 31->30). An existing registry row recorded this under keyRef FRQTitleLienInformation with rule not-built, which enforce PHASE 2p does not accept for the devdoc-coverage check, so the gate FAILed on a decision that was already made and documented. Re-recorded here with the rule 2p expects. DO NOT 'fix' this by rebuilding the combo or adding titleLienInformation to the Vehicle form -- that reinstates a path a stakeholder killed, the same error class as the TX QV re-add. | metadata-vs-devdoc | 2026-07-30
VehicleRegistrationQuery | RQLicensePlateNumber | State2 | devdoc-optional-unreachable | Multi-destination Nlets routing is out of scope for this build (Rob 2026-08-02). Devdoc VehicleRegistrationQuery #7/#8 and metadata RQ <Any> both permit State2-State5 as additional destination states, so this is a REAL unwired optional, not a tool artefact -- recorded rather than built. Rule class is 'other', which licenses no check: nothing is silenced by this row, it exists so the next reader does not re-derive the finding and mistake it for a defect. | metadata-vs-devdoc | 2026-08-02
VehicleRegistrationQuery | RQLicensePlateNumber | State3 | devdoc-optional-unreachable | Multi-destination Nlets routing is out of scope for this build (Rob 2026-08-02). Devdoc VehicleRegistrationQuery #7/#8 and metadata RQ <Any> both permit State2-State5 as additional destination states, so this is a REAL unwired optional, not a tool artefact -- recorded rather than built. Rule class is 'other', which licenses no check: nothing is silenced by this row, it exists so the next reader does not re-derive the finding and mistake it for a defect. | metadata-vs-devdoc | 2026-08-02
VehicleRegistrationQuery | RQLicensePlateNumber | State4 | devdoc-optional-unreachable | Multi-destination Nlets routing is out of scope for this build (Rob 2026-08-02). Devdoc VehicleRegistrationQuery #7/#8 and metadata RQ <Any> both permit State2-State5 as additional destination states, so this is a REAL unwired optional, not a tool artefact -- recorded rather than built. Rule class is 'other', which licenses no check: nothing is silenced by this row, it exists so the next reader does not re-derive the finding and mistake it for a defect. | metadata-vs-devdoc | 2026-08-02
VehicleRegistrationQuery | RQLicensePlateNumber | State5 | devdoc-optional-unreachable | Multi-destination Nlets routing is out of scope for this build (Rob 2026-08-02). Devdoc VehicleRegistrationQuery #7/#8 and metadata RQ <Any> both permit State2-State5 as additional destination states, so this is a REAL unwired optional, not a tool artefact -- recorded rather than built. Rule class is 'other', which licenses no check: nothing is silenced by this row, it exists so the next reader does not re-derive the finding and mistake it for a defect. | metadata-vs-devdoc | 2026-08-02
VehicleRegistrationQuery | RQVehicleIdentificationNumber | State2 | devdoc-optional-unreachable | Multi-destination Nlets routing is out of scope for this build (Rob 2026-08-02). Devdoc VehicleRegistrationQuery #7/#8 and metadata RQ <Any> both permit State2-State5 as additional destination states, so this is a REAL unwired optional, not a tool artefact -- recorded rather than built. Rule class is 'other', which licenses no check: nothing is silenced by this row, it exists so the next reader does not re-derive the finding and mistake it for a defect. | metadata-vs-devdoc | 2026-08-02
