# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-08-02 as part of the portfolio sweep Rob authorised after it was MEASURED rather
#   than assumed. The one-at-a-time ruling (2026-07-30) existed because narrowing suppression can
#   un-silence a real finding and turn a provider red unpredictably; all 8 remaining eligible
#   providers were tested with this marker on and every one stayed ENFORCED 0 FAIL / 0 WARN, so the
#   risk the ruling guarded against was zero here. Under direction-aware a row only silences a check
#   whose CLASS matches its rule (tools/_divergence_rules.ps1); 'other' rows silence nothing.
# CA_CLETS ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d). Each non-comment line records a
# set/any divergence that is intentional and correct, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

# RETIRED 2026-08-17 (v2.26): DriverHistoryQuery | NLTS.KQ.N + NLTS.KQ.O | purposeCodeDH | promoted-to-set
# The two rows read:
#   "purposeCodeDH in set[] ensures KQ query always includes purpose code; any[]/defaulted would
#    silently omit it if CAD doesn't send it; combo default purposeCodeDH='C' handles CAD auto-populate"
# THERE IS NO LONGER A DIVERGENCE TO ACCEPT, because the premise was an artefact of our own wiring.
# DriverHistoryQuery emits TWO purpose-code elements and until v2.26 BOTH were fed by the single
# purposeCodeDH control:
#     purposeCodeDH -> <CaRequestPurposeCode>   metadata <Set>   MANDATORY
#     purposeCodeDH -> <PurposeCode>            metadata <Any>   OPTIONAL
# So one field was simultaneously in the right place for one element and the wrong place for the
# other, and the registry row papered over the half that was wrong. v2.26 gave <PurposeCode> its own
# control (purposeCodeNletsDH, in any[] with a 'C' default). Now each sits exactly where its own
# metadata puts it: purposeCodeDH in set[] MATCHES <Set>, so it is no longer a divergence at all.
# The original concern -- "any[]/defaulted would silently omit it if CAD doesn't send it" -- is still
# handled, by the combo defaults[] twin on both KQ combos, so the wire is unchanged.
# Verified after retiring these rows: audit_requirement_fidelity still 27 branches compared /
# 0 UNDER-REQUIRED / 0 OVER-PERMITTED -- the denominator did NOT fall, so nothing went dark.

# REMOVED 2026-07-21 (v2.15): DriverLicenseQuery | IR.QVC.N | APPSRequestIndicator | extra-field-in-json
# This divergence's own reasoning was backwards -- "devdoc is sole authority for supported fields"
# inverts the actual rule (metadata is field-authority, devdoc is query-authority; see CLAUDE.md
# Source Authority Lookup Table). Live USx Tenant Testing at v2.14 caught it: audit_log_metadata.ps1
# FAILed 9/9 IR.QVC.N logs ("wire field(s) not defined in metadata"). The field was removed entirely
# in v2.15 (attribute, combo any[]/defaults, form field/row). DEX-976 comment 783180.

# keyRef-level not-built declarations (tools/_metadata_keyref_match.ps1, added 2026-07-06):
# these 14 VehicleRegistrationQuery + 1 BoatQuery devdoc sub-variant keyRefs were previously
# mis-reported [PASS] "covered by invented variants" via coincidental field overlap with
# NLTS.RQ.P/NLTS.RQ.V (Vehicle) or the NLTS.BQ.*/IA.QB.* family (Boat) -- both families are
# intentionally not built as separate combos; CA's Vehicle/Boat queries route via the
# combos already covering these fields. Corrected to report honestly as not-built-by-design.
VehicleRegistrationQuery | IV.4I | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4C | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4M | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4L | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4T | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4A | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4F | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4S | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4E | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IL.A1 | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4H | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4P | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4K | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IV.4V | * | not-built | Extra devdoc VIN sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
BoatQuery | IV.4B | * | not-built | Extra devdoc boat sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.BQ.N/NLTS.BQ.H/NLTS.BQ.R/IA.QB.H/IA.QB.O/IA.QB.R | build-notes | 2026-07-06
